unicode.text,unicode.href,discrption,,,
U+1F601,http://apps.timwhitlock.info/unicode/inspect/hex/1F601,GRINNING FACE WITH SMILING EYES,happy,smile,
U+1F602,http://apps.timwhitlock.info/unicode/inspect/hex/1F602,FACE WITH TEARS OF JOY,joy,,
U+1F603,http://apps.timwhitlock.info/unicode/inspect/hex/1F603,SMILING FACE WITH OPEN MOUTH,,,
U+1F604,http://apps.timwhitlock.info/unicode/inspect/hex/1F604,SMILING FACE WITH OPEN MOUTH AND SMILING EYES,,,
U+1F605,http://apps.timwhitlock.info/unicode/inspect/hex/1F605,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT,,,
U+1F606,http://apps.timwhitlock.info/unicode/inspect/hex/1F606,SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES,,,
U+1F609,http://apps.timwhitlock.info/unicode/inspect/hex/1F609,WINKING FACE,wink,,
U+1F60A,http://apps.timwhitlock.info/unicode/inspect/hex/1F60A,SMILING FACE WITH SMILING EYES,,,
U+1F60B,http://apps.timwhitlock.info/unicode/inspect/hex/1F60B,FACE SAVOURING DELICIOUS FOOD,yum,yummy,food
U+1F60C,http://apps.timwhitlock.info/unicode/inspect/hex/1F60C,RELIEVED FACE,,,
U+1F60D,http://apps.timwhitlock.info/unicode/inspect/hex/1F60D,SMILING FACE WITH HEART-SHAPED EYES,love,,
U+1F60F,http://apps.timwhitlock.info/unicode/inspect/hex/1F60F,SMIRKING FACE,,,
U+1F612,http://apps.timwhitlock.info/unicode/inspect/hex/1F612,UNAMUSED FACE,,,
U+1F613,http://apps.timwhitlock.info/unicode/inspect/hex/1F613,FACE WITH COLD SWEAT,,,
U+1F614,http://apps.timwhitlock.info/unicode/inspect/hex/1F614,PENSIVE FACE,,,
U+1F616,http://apps.timwhitlock.info/unicode/inspect/hex/1F616,CONFOUNDED FACE,,,
U+1F618,http://apps.timwhitlock.info/unicode/inspect/hex/1F618,FACE THROWING A KISS,kiss,kissing ,kisses
U+1F61A,http://apps.timwhitlock.info/unicode/inspect/hex/1F61A,KISSING FACE WITH CLOSED EYES,,,
U+1F61C,http://apps.timwhitlock.info/unicode/inspect/hex/1F61C,FACE WITH STUCK-OUT TONGUE AND WINKING EYE,cheeky,,
U+1F61D,http://apps.timwhitlock.info/unicode/inspect/hex/1F61D,FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES,,,
U+1F61E,http://apps.timwhitlock.info/unicode/inspect/hex/1F61E,DISAPPOINTED FACE,,,
U+1F620,http://apps.timwhitlock.info/unicode/inspect/hex/1F620,ANGRY FACE,angry,,
U+1F621,http://apps.timwhitlock.info/unicode/inspect/hex/1F621,POUTING FACE,,,
U+1F622,http://apps.timwhitlock.info/unicode/inspect/hex/1F622,CRYING FACE,,,
U+1F623,http://apps.timwhitlock.info/unicode/inspect/hex/1F623,PERSEVERING FACE,,,
U+1F624,http://apps.timwhitlock.info/unicode/inspect/hex/1F624,FACE WITH LOOK OF TRIUMPH,,,
U+1F625,http://apps.timwhitlock.info/unicode/inspect/hex/1F625,DISAPPOINTED BUT RELIEVED FACE,fearful,scared,
U+1F628,http://apps.timwhitlock.info/unicode/inspect/hex/1F628,FEARFUL FACE,,,
U+1F629,http://apps.timwhitlock.info/unicode/inspect/hex/1F629,WEARY FACE,sleepy,,
U+1F62A,http://apps.timwhitlock.info/unicode/inspect/hex/1F62A,SLEEPY FACE,,,
U+1F62B,http://apps.timwhitlock.info/unicode/inspect/hex/1F62B,TIRED FACE,,,
U+1F62D,http://apps.timwhitlock.info/unicode/inspect/hex/1F62D,LOUDLY CRYING FACE,,,
U+1F630,http://apps.timwhitlock.info/unicode/inspect/hex/1F630,FACE WITH OPEN MOUTH AND COLD SWEAT,,,
U+1F631,http://apps.timwhitlock.info/unicode/inspect/hex/1F631,FACE SCREAMING IN FEAR,,,
U+1F632,http://apps.timwhitlock.info/unicode/inspect/hex/1F632,ASTONISHED FACE,,,
U+1F633,http://apps.timwhitlock.info/unicode/inspect/hex/1F633,FLUSHED FACE,,,
U+1F635,http://apps.timwhitlock.info/unicode/inspect/hex/1F635,DIZZY FACE,,,
U+1F637,http://apps.timwhitlock.info/unicode/inspect/hex/1F637,FACE WITH MEDICAL MASK,doctor,,
U+1F638,http://apps.timwhitlock.info/unicode/inspect/hex/1F638,GRINNING CAT FACE WITH SMILING EYES,cat,,
U+1F639,http://apps.timwhitlock.info/unicode/inspect/hex/1F639,CAT FACE WITH TEARS OF JOY,,,
U+1F63A,http://apps.timwhitlock.info/unicode/inspect/hex/1F63A,SMILING CAT FACE WITH OPEN MOUTH,,,
U+1F63B,http://apps.timwhitlock.info/unicode/inspect/hex/1F63B,SMILING CAT FACE WITH HEART-SHAPED EYES,,,
U+1F63C,http://apps.timwhitlock.info/unicode/inspect/hex/1F63C,CAT FACE WITH WRY SMILE,,,
U+1F63D,http://apps.timwhitlock.info/unicode/inspect/hex/1F63D,KISSING CAT FACE WITH CLOSED EYES,,,
U+1F63E,http://apps.timwhitlock.info/unicode/inspect/hex/1F63E,POUTING CAT FACE,,,
U+1F63F,http://apps.timwhitlock.info/unicode/inspect/hex/1F63F,CRYING CAT FACE,,,
U+1F640,http://apps.timwhitlock.info/unicode/inspect/hex/1F640,WEARY CAT FACE,,,
U+1F645,http://apps.timwhitlock.info/unicode/inspect/hex/1F645,FACE WITH NO GOOD GESTURE,,,
U+1F646,http://apps.timwhitlock.info/unicode/inspect/hex/1F646,FACE WITH OK GESTURE,,,
U+1F647,http://apps.timwhitlock.info/unicode/inspect/hex/1F647,PERSON BOWING DEEPLY,,,
U+1F648,http://apps.timwhitlock.info/unicode/inspect/hex/1F648,SEE-NO-EVIL MONKEY,,,
U+1F649,http://apps.timwhitlock.info/unicode/inspect/hex/1F649,HEAR-NO-EVIL MONKEY,,,
U+1F64A,http://apps.timwhitlock.info/unicode/inspect/hex/1F64A,SPEAK-NO-EVIL MONKEY,,,
U+1F64B,http://apps.timwhitlock.info/unicode/inspect/hex/1F64B,HAPPY PERSON RAISING ONE HAND,,,
U+1F64C,http://apps.timwhitlock.info/unicode/inspect/hex/1F64C,PERSON RAISING BOTH HANDS IN CELEBRATION,,,
U+1F64D,http://apps.timwhitlock.info/unicode/inspect/hex/1F64D,PERSON FROWNING,,,
U+1F64E,http://apps.timwhitlock.info/unicode/inspect/hex/1F64E,PERSON WITH POUTING FACE,,,
U+1F64F,http://apps.timwhitlock.info/unicode/inspect/hex/1F64F,PERSON WITH FOLDED HANDS,,,
U+2702,http://apps.timwhitlock.info/unicode/inspect/hex/2702,BLACK SCISSORS,scissors,,
U+2705,http://apps.timwhitlock.info/unicode/inspect/hex/2705,WHITE HEAVY CHECK MARK,,,
U+2708,http://apps.timwhitlock.info/unicode/inspect/hex/2708,AIRPLANE,airplane,,
U+2709,http://apps.timwhitlock.info/unicode/inspect/hex/2709,ENVELOPE,envelope,,
U+270A,http://apps.timwhitlock.info/unicode/inspect/hex/270A,RAISED FIST,fist,,
U+270B,http://apps.timwhitlock.info/unicode/inspect/hex/270B,RAISED HAND,,,
U+270C,http://apps.timwhitlock.info/unicode/inspect/hex/270C,VICTORY HAND,pencil,,
U+270F,http://apps.timwhitlock.info/unicode/inspect/hex/270F,PENCIL,,,
U+2712,http://apps.timwhitlock.info/unicode/inspect/hex/2712,BLACK NIB,,,
U+2714,http://apps.timwhitlock.info/unicode/inspect/hex/2714,HEAVY CHECK MARK,,,
U+2716,http://apps.timwhitlock.info/unicode/inspect/hex/2716,HEAVY MULTIPLICATION X,,,
U+2728,http://apps.timwhitlock.info/unicode/inspect/hex/2728,SPARKLES,sparkles,,
U+2733,http://apps.timwhitlock.info/unicode/inspect/hex/2733,EIGHT SPOKED ASTERISK,,,
U+2734,http://apps.timwhitlock.info/unicode/inspect/hex/2734,EIGHT POINTED BLACK STAR,,,
U+2744,http://apps.timwhitlock.info/unicode/inspect/hex/2744,SNOWFLAKE,snowflake,,
U+2747,http://apps.timwhitlock.info/unicode/inspect/hex/2747,SPARKLE,,,
U+274C,http://apps.timwhitlock.info/unicode/inspect/hex/274C,CROSS MARK,,,
U+274E,http://apps.timwhitlock.info/unicode/inspect/hex/274E,NEGATIVE SQUARED CROSS MARK,,,
